Title,Year,Latest Season Count,File Count,Airing Day,Status
Patriot,2015,8,0,Unknown,ended
Power,2014,15,15,Unknown,ended
The Mentalist,2008,13,13,Unknown,ended
Lost,2004,18,18,Unknown,ended
Hunted,2012,8,8,Unknown,ended
House of Cards (US),2013,8,8,Unknown,ended
The Firm,2012,22,22,Unknown,ended
The Veil (2024),2024,6,6,Unknown,ended
Treadstone,2019,10,10,Unknown,ended
Mrs. Fletcher,2019,7,7,Unknown,ended
Gunpowder,2017,3,3,Unknown,ended
Anne Rice’s Mayfair Witches,2023,8,5,Monday,continuing
Your Honor,2020,10,10,Unknown,ended
Doctor Who (2023),2024,8,8,Unknown,continuing
Presumed Innocent,2024,8,8,Unknown,continuing
The Spanish Princess,2019,8,8,Unknown,ended
The Sympathizer,2024,7,7,Unknown,ended
Rebus (2024),2024,6,6,Unknown,continuing
Shantaram,2022,12,12,Unknown,ended
Spacey Unmasked,2024,2,2,Unknown,ended
The Acolyte,2024,8,8,Unknown,ended
Those About to Die,2024,10,10,Unknown,continuing
Hotel Cocaine,2024,8,8,Unknown,continuing
11.22.63,2016,8,0,Unknown,ended
Tulsa King,2022,10,10,Unknown,continuing
Kin,2021,8,8,Unknown,ended
The Penguin,2024,8,8,Unknown,ended
Agatha All Along,2024,9,9,Unknown,ended
Brilliant Minds,2024,13,13,Unknown,continuing
Murder in a Small Town (2024),2024,8,8,Unknown,continuing
Industry,2020,8,8,Unknown,continuing
Chicago P.D.,2014,14,11,Thursday,continuing
Chicago Med,2015,17,11,Thursday,continuing
Chicago Fire,2012,14,11,Thursday,continuing
Night Sky,2022,8,8,Unknown,ended
Helstrom,2020,10,10,Unknown,ended
Echo,2024,5,5,Unknown,ended
Ironheart,2025,6,0,Unknown,upcoming
Vision Quest,0,1,0,Unknown,upcoming
Fight Night: The Million Dollar Heist,2024,8,8,Unknown,ended
The Proof Is Out There: Military Mysteries,2024,6,6,Unknown,continuing
Guillermo del Toro's Cabinet of Curiosities,2022,8,8,Unknown,ended
NCIS: Origins,2024,18,12,Tuesday,continuing
FBI: International,2021,13,10,Wednesday,continuing
Georgie & Mandy's First Marriage,2024,15,8,Friday,continuing
Elsbeth,2024,13,9,Friday,continuing
Tracker (2024),2024,9,8,Monday,continuing
FBI: Most Wanted,2020,13,10,Wednesday,continuing
The Neighborhood,2018,11,10,Tuesday,continuing
Law & Order: Special Victims Unit,1999,16,11,Friday,continuing
Supacell,2024,6,6,Unknown,continuing
Bob Hearts Abishola,2019,13,13,Unknown,ended
Law & Order,1990,14,11,Friday,continuing
9-1-1,2018,9,8,Friday,continuing
Daredevil: Born Again,2025,9,0,Unknown,upcoming
The Line,2021,4,0,Unknown,ended
The Day of the Jackal,2024,10,6,Unknown,continuing
Cross,2024,8,8,Unknown,continuing
Porn King: The Rise & Fall of Ron Jeremy,2022,2,0,Unknown,ended
The Offer,2022,10,10,Unknown,ended
The Chosen One (2023),2023,6,6,Unknown,ended
McMafia,2018,8,8,Unknown,ended
Liar,2017,6,6,Unknown,ended
Hunters (2020),2020,8,8,Unknown,ended
The Agency (2024),2024,10,10,Unknown,continuing
Black Doves,2024,1,0,Unknown,continuing
Matlock (2024),2024,18,9,Friday,continuing
Dexter: Original Sin,2024,10,8,Monday,continuing
Beast Games,2024,10,8,Thursday,continuing
Homestead: The Series,2024,6,2,Unknown,continuing
Earth Abides,2024,6,6,Unknown,continuing
The Man Who Fell to Earth,2022,10,10,Unknown,ended
The Walking Dead: World Beyond,2020,10,10,Unknown,ended
neXt (2020),2020,10,10,Unknown,ended
Utopia (2020),2020,8,8,Unknown,ended
Brave New World (2020),2020,9,9,Unknown,ended
Y: The Last Man,2021,10,10,Unknown,ended
Another Life,2019,10,10,Unknown,ended
Moonhaven,2022,6,6,Unknown,ended
Constellation,2024,8,8,Unknown,ended
Doc (US),2025,10,5,Wednesday,continuing
Prime Target,2025,8,4,Wednesday,continuing
Landman,2024,10,10,Unknown,continuing
Watson,2025,10,1,Monday,continuing
