collected_at,type,title,year,trakt_rating,trakt_id,imdb_id,tmdb_id,url,released,runtime,genres
2023-08-10T14:44:34Z,movie,13,2010,6.14005,30604,tt0798817,44982,https://trakt.tv/movies/13-2010,2010-03-12,91,"drama,thriller"
2023-07-25T23:09:33Z,movie,21,2008,7.01004,4032,tt0478087,8065,https://trakt.tv/movies/21-2008,2008-03-27,123,"crime,drama"
2023-08-07T21:08:25Z,movie,211,2018,5.8201,347685,tt4976192,500919,https://trakt.tv/movies/211-2018,2018-06-08,86,"action,crime,thriller"
2022-07-02T00:18:50Z,movie,300,2007,7.67166,884,tt0416449,1271,https://trakt.tv/movies/300-2007,2007-03-09,116,"action,adventure,war"
2023-05-10T02:41:33Z,movie,2012,2009,6.29956,8477,tt1190080,14161,https://trakt.tv/movies/2012-2009,2009-11-13,158,"action,adventure,science-fiction"
2023-08-01T19:24:22Z,movie,#UNFIT: The Psychology of Donald Trump,2020,7.43976,430556,tt12304596,581802,https://trakt.tv/movies/unfit-the-psychology-of-donald-trump-2020,2020-09-01,83,documentary
2025-07-24T19:47:54Z,movie,100 Streets,2016,6.66958,223960,tt2990126,334532,https://trakt.tv/movies/100-streets-2016,2016-11-11,93,drama
2023-08-19T05:09:48Z,movie,12 Strong,2018,7.25508,273322,tt1413492,429351,https://trakt.tv/movies/12-strong-2018,2018-01-19,130,"war,drama,history,action"
2023-08-10T18:09:19Z,movie,12 Years a Slave,2013,8.07086,56258,tt2024544,76203,https://trakt.tv/movies/12-years-a-slave-2013,2013-10-18,134,"drama,history"
2023-08-10T14:44:21Z,movie,127 Hours,2010,7.37806,29851,tt1542344,44115,https://trakt.tv/movies/127-hours-2010,2010-11-12,94,"adventure,drama,thriller"
2022-07-03T04:17:25Z,movie,13 Hours: The Secret Soldiers of Benghazi,2016,7.73151,219869,tt4172430,300671,https://trakt.tv/movies/13-hours-the-secret-soldiers-of-benghazi-2016,2016-01-13,144,"action,history,war,drama,thriller"
2023-08-22T19:49:42Z,movie,15 Minutes,2001,6.26986,1833,tt0179626,2749,https://trakt.tv/movies/15-minutes-2001,2001-03-01,120,"action,crime,thriller"
2023-06-29T11:43:11Z,movie,16 Blocks,2006,6.77971,1542,tt0450232,2207,https://trakt.tv/movies/16-blocks-2006,2006-03-03,105,"action,adventure,crime,thriller"
2022-05-31T12:38:53Z,movie,2 Fast 2 Furious,2003,6.66961,463,tt0322259,584,https://trakt.tv/movies/2-fast-2-furious-2003,2003-06-06,107,"action,crime,thriller"
2022-07-02T00:17:58Z,movie,2 Guns,2013,7.04293,91859,tt1272878,136400,https://trakt.tv/movies/2-guns-2013,2013-08-02,109,"action,comedy,crime"
2023-07-11T07:05:21Z,movie,2022 Back That Year Up with Kevin Hart & Kenan Thompson,2022,6,854214,tt25041284,1062253,https://trakt.tv/movies/2022-back-that-year-up-with-kevin-hart-kenan-thompson-2022,2022-12-23,71,comedy
2023-06-30T20:03:45Z,movie,21 Grams,2003,7.40184,372,tt0315733,470,https://trakt.tv/movies/21-grams-2003,2003-11-21,124,"crime,drama,thriller"
2022-07-02T00:18:30Z,movie,21 Jump Street,2012,7.31947,46734,tt1232829,64688,https://trakt.tv/movies/21-jump-street-2012,2012-03-16,109,"action,comedy,crime"
2022-07-02T00:18:33Z,movie,22 Jump Street,2014,7.14348,117143,tt2294449,187017,https://trakt.tv/movies/22-jump-street-2014,2014-06-13,112,"action,comedy,crime"
2023-05-08T02:01:08Z,movie,24 Hours to Live,2017,6.81134,317407,tt5442456,470114,https://trakt.tv/movies/24-hours-to-live-2017,2017-10-26,94,"thriller,science-fiction,action,mystery"
2023-05-08T01:58:13Z,movie,25th Hour,2002,7.44669,958,tt0307901,1429,https://trakt.tv/movies/25th-hour-2002,2002-12-19,135,"crime,drama"
2025-06-03T16:00:39Z,movie,28 Days Later,2002,7.52251,135,tt0289043,170,https://trakt.tv/movies/28-days-later-2002,2002-11-01,113,"horror,science-fiction,thriller"
2025-06-03T16:00:38Z,movie,28 Weeks Later,2007,6.86601,1021,tt0463854,1562,https://trakt.tv/movies/28-weeks-later-2007,2007-04-26,100,"horror,science-fiction,thriller"
2025-07-01T02:32:07Z,movie,28 Years Later,2025,6.3959,885672,tt10548174,1100988,https://trakt.tv/movies/28-years-later-2025,2025-06-19,115,"horror,science-fiction,thriller"
2025-07-01T02:32:14Z,movie,28 Years Later: The Bone Temple,2026,6.4375,1033738,tt32141377,1272837,https://trakt.tv/movies/28-years-later-the-bone-temple-2026,2026-01-14,90,"horror,science-fiction,thriller"
