title,year,trakt_rating,trakt_id,imdb_id,tmdb_id,url,released,runtime,genres,Poster Link,Background poster,Description (long),Producer,Director(s),Writer(s),Stars,budget,budger_currency,worldwide_gross,worldwide_gross_currency
The Last Boy Scout,1991,7.23751,4617,tt0102266,9319,https://trakt.tv/movies/the-last-boy-scout-1991,1991-12-13,105,"action,thriller",https://image.tmdb.org/t/p/original/fNkLz6ITQqTDZHBXqiCrm4kaJKJ.jpg,https://image.tmdb.org/t/p/original/8AZ8Hjcr4Jr1eR93OW70g9jjUr9.jpg,"Somewhere in Los Angeles, the city of broken dreams, a stripper is murdered. Now, the private detective she had hired and her ex-footballer boyfriend are going to find her murderer... if they don't kill each other first. But the more they dig, the deeper they become enmeshed in a web of extortion, blackmail and corrupt politics hidden beneath the surface of professional football.",Joel Silver; Michael Levy; Steve Perry,Tony Scott,Shane Black,Bruce Willis; Damon Wayans; Chelsea Field; Noble Willingham; Taylor Negron,,,59500000,
The Last Dragon,1985,7.47668,8310,tt0089461,13938,https://trakt.tv/movies/the-last-dragon-1985,1985-03-22,109,"action,adventure,music,comedy,drama",https://image.tmdb.org/t/p/original/r5QnLY30gXlZ8luiJE3quDs1WNF.jpg,https://image.tmdb.org/t/p/original/9pqox4KAKGdfqYTkdXeDImUWWmJ.jpg,"A young man searches for the ""master"" to obtain the final level of martial arts mastery known as the glow. Along the way he must fight an evil martial arts expert and rescue a beautiful singer from an obsessed music promoter.",Rupert Hitzig,Michael Schultz,,Taimak; Vanity; Christopher Murney; Julius Carry; Faith Prince,,,25754284,
The Last Full Measure,2020,7.64753,315368,tt0783640,442065,https://trakt.tv/movies/the-last-full-measure-2020,2020-01-24,110,"drama,war,action",https://image.tmdb.org/t/p/original/bMG8c80lyEkBXVgyHVqsdQhjgf6.jpg,https://image.tmdb.org/t/p/original/eZwwJ5yRpMDhZzfMS7XeWwUzLSE.jpg,"The incredible true story of Vietnam War hero William H. Pitsenbarger, a U.S. Air Force Pararescuemen medic who personally saved over sixty men. Thirty-two years later, Pentagon staffer Scott Huffman investigates a Congressional Medal of Honor request for Pitsenbarger and uncovers a high-level conspiracy behind the decades-long denial of the medal, prompting Huffman to put his own career on the line to seek justice for the fallen airman.",Adi Cohen; John Watson; Jordi Rediu; Julian Adams; Lauren Selig; Mark Damon; Michael Bassick; Michael G. Selby; Nicholas Cafritz; Pen Densham; Petr Jákl; Robert Reed Peterson; Shaun S. Sanghani; Timothy Scott Bogart,Todd Robinson,Todd Robinson,Sebastian Stan; Christopher Plummer; William Hurt; Ed Harris; Samuel L. Jackson,,,3364426,
The Last Hit Man,2008,5.625,27336,tt1124379,41341,https://trakt.tv/movies/the-last-hit-man-2008,2008-03-26,90,"action,crime,thriller",https://image.tmdb.org/t/p/original/4x4zimw97vfnj9GHBi5u2L8NHWy.jpg,https://image.tmdb.org/t/p/original/u5eU4ROGL36XL182rmdeWXTtR2d.jpg,"Ageing hit man, Harry, has just botched a job and is now the target. His daughter is also in the assassin trade and is now a target too. A young hit man called Billy is sent to take Harry out but they form an uneasy alliance...",,Christopher Warre Smets,Christopher Warre Smets,Joe Mantegna; Elizabeth Whitmere; Romano Orzari; Michael Majeski,,,,
The Last Kingdom: Seven Kings Must Die,2023,7.28467,762416,tt15767808,948713,https://trakt.tv/movies/the-last-kingdom-seven-kings-must-die-2023,2023-04-14,111,"action,war,adventure",https://image.tmdb.org/t/p/original/qcNDxDzd5OW9wE3c8nWxCBQoBrM.jpg,https://image.tmdb.org/t/p/original/kEhCztSTP4ixu7R0AIWg8vvcvbb.jpg,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",Gareth Neame; Mat Chaplin; Nigel Marchant,Edward Bazalgette,Martha Hillier,Alexander Dreymon; Harry Gilby; Mark Rowley; Arnas Fedaravičius; Cavan Clerkin,,,,
The Last Mercenary,2021,5.84608,571945,tt12808182,729720,https://trakt.tv/movies/the-last-mercenary-2021,2021-07-30,110,"action,comedy",https://image.tmdb.org/t/p/original/ttpKJ7XQxDZV252KNEHXtykYT41.jpg,https://image.tmdb.org/t/p/original/fZ4hrFacm5yow9gT64rS6YMNyHz.jpg,A legendary secret service agent comes out of hiding and returns to France to help the son he's never met get out of trouble.,David Charhon; Eponine Maillet; Jakéma Charhon; Jean-Charles Levy; Laurence Schonberg; Nicolas Manuel; Olias Barco; Olivier Albou,David Charhon,David Charhon; Ismaël Sy Savané,Jean-Claude Van Damme; Alban Ivanov; Samir Decazza; Assa Sylla; Eric Judor,,,,
The Last Rodeo,2025,7.34177,1128212,tt30908405,1380682,https://trakt.tv/movies/the-last-rodeo-2025,2025-05-23,118,drama,https://image.tmdb.org/t/p/original/cpATW9o83IwYqPkiT7WLqL2jxlF.jpg,https://image.tmdb.org/t/p/original/9MuwxjnVPGweFwo4cZPbXM2iRX9.jpg,"A retired rodeo legend risks it all to save his grandson. Facing his own painful past and the fears of his family, he enters a high-stakes bullriding competition as the oldest contestant ever. Along the way, he reconciles old wounds with his estranged daughter and proves that true courage is found in the fight for family.",Darren Moorman; Jon Avnet; Kip Konwiser; Neal McDonough; Ruve McDonough; Stephen Preston,Jon Avnet,Derek Presley; Jon Avnet; Neal McDonough,Neal McDonough; Mykelti Williamson; Sarah Jones; Christopher McDonald; Daylon Swearingen,,,15202565,
The Last Stand,2013,6.61511,56612,tt1549920,76640,https://trakt.tv/movies/the-last-stand-2013,2013-01-12,107,"action,crime,thriller",https://image.tmdb.org/t/p/original/3tP4r47v8v6mEj5X5RuG9y8Frbh.jpg,https://image.tmdb.org/t/p/original/86yCBuxCX5PV60Y1Gp0VO6K8imM.jpg,"Ray Owens is sheriff of the quiet US border town of Sommerton Junction after leaving the LAPD following a bungled operation. Following his escape from the FBI, a notorious drug baron, his gang, and a hostage are heading toward Sommerton Junction where the police are preparing to make a last stand to intercept them before they cross the border. Owens is reluctant to become involved but ultimately joins in with the law enforcement efforts.",Lorenzo di Bonaventura,Kim Jee-woon,Andrew Knauer; George Nolfi; Jeffrey Nachmanoff,Arnold Schwarzenegger; Johnny Knoxville; Jaimie Alexander; Zach Gilford; Kristen DeVore Rakes,,,,
The Ledge,2011,6.5205,45719,tt1535970,63493,https://trakt.tv/movies/the-ledge-2011,2011-07-08,101,"drama,thriller",https://image.tmdb.org/t/p/original/cTaDS6CTIfZ5MH189ub6oE1FATk.jpg,https://image.tmdb.org/t/p/original/fWOfr0L1ISpP3KF8qY2qG1qrxMi.jpg,A thriller in which a battle of philosophies between a fundamentalist Christian and an atheist escalates into a lethal battle of wills.,Mark Damon; Michael Mailer; Moshe Diamant,Matthew Chapman,Matthew Chapman,Charlie Hunnam; Liv Tyler; Terrence Howard; Patrick Wilson; Jaqueline Fleming,,,610986,
The Ledge,2022,6.09349,740655,tt6805938,924482,https://trakt.tv/movies/the-ledge-2022,2022-02-18,86,"thriller,adventure",https://image.tmdb.org/t/p/original/S99eCSnRFfeZJmDaIGIZF58H7w.jpg,https://image.tmdb.org/t/p/original/jazlkwXfw4KdF6fVTRsolOvRCmu.jpg,"A rock climbing adventure between two friends turns into a terrifying nightmare. After Kelly captures the murder of her best friend on camera, she becomes the next target of a tight knit group of friends who will stop at nothing to destroy the evidence and anyone in their way.",Fred Hedman; Kate Hoffman; Milos Djukelic,Howard J. Ford,Tom Boyle,Brittany Ashworth; Nathan Welsh; Anaïs Parello; Louis Boyer; Ben Lamb,,,685303,
The Legend Is Born: Ip Man,2010,7.22518,29967,tt1641638,44249,https://trakt.tv/movies/the-legend-is-born-ip-man-2010,2010-06-24,100,"action,drama,history",https://image.tmdb.org/t/p/original/ekJxJ037GWBrqIR8FX7Kh7daaR9.jpg,https://image.tmdb.org/t/p/original/4jCHr55RGHQlXzcDYwJ70b0mYj9.jpg,"The remarkable true story of the early life of Ip Man, the formidable kung fu genius who would become Bruce Lee's mentor; beginning at the start of his journey from his initial training through to the ultimate battle to become supreme master of the art of Wing Chun.",Checkley Sin Kwok-Lam; Cherry Law Bo-Yi; Xu Wen-Cai,Herman Yau,Eric Lee Sing; Erica Li,Dennis To Yu-Hang; Huang Yi; Yuen Biao; Louis Fan Siu-Wong; Rose Chan Ka-Wun,,,2708867,
The Legend of Bagger Vance,2000,7.04115,2891,tt0146984,4958,https://trakt.tv/movies/the-legend-of-bagger-vance-2000,2000-11-02,126,"drama,romance,fantasy",https://image.tmdb.org/t/p/original/fsvWRwcE8bD7WHo7BeF8HqWLbIh.jpg,https://image.tmdb.org/t/p/original/bwS2YrIMJp7yAb8RhuLkNVMLeyY.jpg,"World War I has left golfer Rannulph Junuh a poker-playing alcoholic, his perfect swing gone. Now, however, he needs to get it back to play in a tournament to save the financially ravaged golf course of a long-ago sweetheart. Help arrives in the form of mysterious caddy Bagger Vance.",Chris Brigham; Jake Eberts; Joseph P. Reidy; Michael Nozik; Robert Redford,Robert Redford,Jeremy Leven,Matt Damon; Will Smith; Charlize Theron; Bruce McGill; Joel Gretsch,,,39459427,
The Legend of Zorro,2005,6.32509,1101,tt0386140,1656,https://trakt.tv/movies/the-legend-of-zorro-2005,2005-10-24,129,"action,adventure,superhero,western",https://image.tmdb.org/t/p/original/duZDsuIA2uX93Vujtm89oHeTFqE.jpg,https://image.tmdb.org/t/p/original/2b3PSB97qrxQduzquYihf7u3uwV.jpg,"Despite trying to keep his swashbuckling to a minimum, a threat to California's pending statehood causes the adventure-loving Don Alejandro de la Vega and his wife, Elena, to take action.",Laurie MacDonald; Lloyd Phillips; Walter F. Parkes,Martin Campbell,Alex Kurtzman; Roberto Orci,Antonio Banderas; Catherine Zeta-Jones; Adrian Alonso; Julio Oscar Mechoso; Nick Chinlund,,,142400065,
The Liability,2012,5.74772,104649,tt2081437,162145,https://trakt.tv/movies/the-liability-2012,2013-01-29,86,"comedy,crime,thriller",https://image.tmdb.org/t/p/original/4TdsXzigS6xYYO9Qn8oOQrZqX1M.jpg,https://image.tmdb.org/t/p/original/w185C3q1yggd8CE6tiWHAWbgmVD.jpg,"When 19-year-old Adam agrees to do a day's driving for his mum's gangster boyfriend Peter, it takes him on a 24-hour journey into a nightmarish world of murder, sex trafficking and revenge, in the company of aging hit man Roy.",Richard Johns; Rupert Jermyn,Craig Viveiros,John Wrathall,Tim Roth; Jack O'Connell; Talulah Riley; Kierston Wareing; Peter Mullan,,,,
The Lincoln Lawyer,2011,7.54212,35197,tt1189340,50348,https://trakt.tv/movies/the-lincoln-lawyer-2011,2011-03-18,119,"crime,drama,thriller",https://image.tmdb.org/t/p/original/gOn8Ve9Yi8fxjRkmLr5BZoOc7KV.jpg,https://image.tmdb.org/t/p/original/j9QaQVuyQIEwckUbjHpAgA7E4jJ.jpg,"Mick Haller is a charismatic defense attorney who does business out of his Lincoln Continental sedan. Mick spends most of his time defending petty crooks and other bottom-feeders, so it comes as quite a surprise when he lands the case of a lifetime: defending a Beverly Hills playboy who is accused of attempted murder. However, what Mick initially thinks is an open-and-shut case with a big monetary reward develops into something more sinister.",Gary Lucchesi; Richard S. Wright; Scott Steindorff; Sidney Kimmel; Tom Rosenberg,Brad Furman,John Romano,Matthew McConaughey; Ryan Phillippe; William H. Macy; Marisa Tomei; Josh Lucas,,,85412898,
The Line,2009,5.38372,13378,tt1111918,21878,https://trakt.tv/movies/the-line-2009,2009-09-09,95,"action,crime,drama,thriller",https://image.tmdb.org/t/p/original/nqFJRRM4uK3DWXEwsluAP1Pb5fH.jpg,https://image.tmdb.org/t/p/original/rGlBRCfxRHOJwGreTYu05Ez6I5b.jpg,"The story centers around veteran assassin Mark Shields as he tracks down, Pelon, the elusive head of the Salazar Crime Cartel. Through twists of fate, Shields ends up with a local woman, Olivia who is also fighting her own demons for the sake of her daughter. Set in the rich and atmospheric backdrop of Tijuana, Mexico, La Linea (The Line) is full of action and drama.",Geoffrey Ross; Marlon Parry; R. Ellis Frazier,James Cotten,R. Ellis Frazier,Ray Liotta; Andy García; Esai Morales; Armand Assante; Valerie Cruz,,,,
The Little Things,2021,6.57619,462660,tt10016180,602269,https://trakt.tv/movies/the-little-things-2021,2021-01-29,128,"thriller,crime,drama",https://image.tmdb.org/t/p/original/tLO1aD1ghdtVMT32z2sRmzgYKYd.jpg,https://image.tmdb.org/t/p/original/vfuzELmhBjBTswXj2Vqxnu5ge4g.jpg,"Deputy Sheriff Joe ""Deke"" Deacon joins forces with Sgt. Jim Baxter to search for a serial killer who's terrorizing Los Angeles. As they track the culprit, Baxter is unaware that the investigation is dredging up echoes of Deke's past, uncovering disturbing secrets that could threaten more than his case.",John Lee Hancock; Mark Johnson,John Lee Hancock,John Lee Hancock,Denzel Washington; Rami Malek; Jared Leto; Chris Bauer; Michael Hyatt,,,29942746,
The Long Game,2025,6.29412,890202,tt23631668,1106565,https://trakt.tv/movies/the-long-game-2025,2025-02-14,86,thriller,https://image.tmdb.org/t/p/original/hYurVjFXAl3CxaWiVrYjSGIlhuW.jpg,https://image.tmdb.org/t/p/original/v81YCuhRrsOHaBhxzdppsRTSLFS.jpg,"Ambitious young actress Holly Sloan agrees to help her boyfriend Richard Metzger scam Hollywood legend Mariah McKay, but the two women strike up an unlikely friendship instead. Soon Holly must decide where her true loyalties lie.  Based on a short story by New York Times bestselling author Janet Fitch.",Adam Gierasch; Cory Neal; Peter Block,Jace Anderson,Adam Gierasch; Jace Anderson,Sekai Abeni; Kathleen Turner; Jackie Earle Haley; Daniel Burgess-Wise; Bonnie Discepolo,,,,
