title,year,trakt_rating,trakt_id,imdb_id,tmdb_id,url,released,runtime,genres,Poster Link,Background poster,Description (long),Producer,Director(s),Writer(s),Stars,budget,budger_currency,worldwide_gross,worldwide_gross_currency
Queen of the Damned,2002,6.27175,6992,tt0238546,11979,https://trakt.tv/movies/queen-of-the-damned-2002,2002-04-04,101,"fantasy,horror,romance",https://image.tmdb.org/t/p/original/4MMpvQYgOz8K6lzlIVMXWjLzUPC.jpg,https://image.tmdb.org/t/p/original/dHkKPuiPSw9BbfAt1zdEZCuAzTX.jpg,"Lestat finds acceptance in a tattooed and pierced world, rekindling the desires of all-powerful Akasha.",Jorge Saralegui,Michael Rymer,Michael Petroni; Scott Abbott,Aaliyah; Stuart Townsend; Marguerite Moreau; Vincent Perez; Paul McGann,,,45479110,AUD
Head of State,2003,6.21348,5037,tt0325537,9776,https://trakt.tv/movies/head-of-state-2003,2003-03-28,95,"comedy,drama",https://image.tmdb.org/t/p/original/5itBve85q2oXmiQ3SkgCJa5Asxq.jpg,https://image.tmdb.org/t/p/original/12LmdeaGGitnPIdz9XcSlCQbuJ8.jpg,"When a presidential candidate dies unexpectedly in the middle of the campaign, the Democratic party unexpectedly picks a Washington, D.C. alderman as his replacement.",Ali LeRoi; Chris Rock; Michael Rotenberg,Chris Rock,Ali LeRoi; Chris Rock,Chris Rock; Bernie Mac; Dylan Baker; Nick Searcy; Lynn Whitfield,,,37788228,AUD
Safe,2012,6.86057,53166,tt1656190,72387,https://trakt.tv/movies/safe-2012,2012-04-16,94,"action,crime,thriller",https://image.tmdb.org/t/p/original/kOCpkoMUVae9UIf85gO71SyjLbW.jpg,https://image.tmdb.org/t/p/original/gc150q5RMjq5vXJddBk90dXFvlr.jpg,"After a former elite agent rescues a 12-year-old Chinese girl who's been abducted, they find themselves in the middle of a standoff between Triads, the Russian Mafia and high-level corrupt New York City politicians and police.",Dana Brunetti; John R. Woodward; Joseph Zolfo; Lawrence Bender,Boaz Yakin,Boaz Yakin,Jason Statham; Chris Sarandon; James Hong; Catherine Chan; Robert John Burke,30000000,USD,40300000,AUD
Animal Kingdom,2010,7.11977,30313,tt1313092,44629,https://trakt.tv/movies/animal-kingdom-2010,2010-06-03,113,"crime,drama",https://image.tmdb.org/t/p/original/zhj8YPQKuRev5N3KoHacsPnF4mB.jpg,https://image.tmdb.org/t/p/original/dxOv6K3LNbZfQaGDyx7Tp94Koy.jpg,"Joshua “J” is taken in by his extended family after his mother dies of an overdose. The clan, ruled by J’s scheming grandmother, is heavily involved in criminal activities, and J is soon indoctrinated into their way of life. But J is given a chance to take another path when a cop seeks to help him.",Liz Watts,David Michôd,David Michôd,Ben Mendelsohn; Joel Edgerton; Guy Pearce; Luke Ford; Jacki Weaver,5000000,USD,1000000,AUD
Knowing,2009,6.39358,8207,tt0448011,13811,https://trakt.tv/movies/knowing-2009,2009-03-20,121,"action,mystery,science-fiction,thriller",https://image.tmdb.org/t/p/original/OG0mxQt4YaNIWiz8EKJSHe9lPh.jpg,https://image.tmdb.org/t/p/original/s6h8MemlWFshLmPfd08syBpaTTK.jpg,A teacher opens a time capsule that has been dug up at his son's elementary school; in it are some chilling predictions -- some that have already occurred and others that are about to -- that lead him to believe his family plays a role in the events that are about to unfold.,Alex Proyas; Jason Blumenthal; Steve Tisch; Todd Black,Alex Proyas,Juliet Snowden; Ryne Douglas Pearson; Stiles White,Nicolas Cage; Rose Byrne; Chandler Canterbury; Ben Mendelsohn; Nadia Townsend,,,155446362,AUD
Crocodile Dundee in Los Angeles,2001,5.79981,4590,tt0231402,9290,https://trakt.tv/movies/crocodile-dundee-in-los-angeles-2001,2001-04-12,95,"adventure,comedy",https://image.tmdb.org/t/p/original/hwt6iJjPuXRDKJON5s9G9pdfPbu.jpg,https://image.tmdb.org/t/p/original/t5OzCbZncDwYZAM7tFnDeOxWg1R.jpg,"After settling in the tiny Australian town of Walkabout Creek with his significant other and his young son, Mick ""Crocodile"" Dundee is thrown for a loop when a prestigious Los Angeles newspaper offers his honey a job. The family migrates back to the United States, and Croc and son soon find themselves learning some lessons about American life -- many of them inadvertent",Conrad Hool; Lance Hool; Paul Hogan; Perry Katz,Simon Wincer,Eric Abrams; Matthew Berry,Paul Hogan; Linda Kozlowski; Jere Burns; Jonathan Banks; Alec Wilson,21150000,USD,39438674,AUD
The Alamo,2004,6.14798,5900,tt0318974,10733,https://trakt.tv/movies/the-alamo-2004,2004-04-09,137,"war,history,drama",https://image.tmdb.org/t/p/original/aZrWYkxCCwSPKp4VjVvn46uHbIX.jpg,https://image.tmdb.org/t/p/original/fy8E5sF1Phf5aihA3nxx4Qqxotl.jpg,"Based on the 1836 standoff between a group of Texan and Tejano men, led by Davy Crockett and Jim Bowie, and Mexican dictator Santa Anna's forces at the Alamo in San Antonio, Texas.",Mark Johnson; Ron Howard,John Lee Hancock,John Lee Hancock; Leslie Bohem; Stephen Gaghan,Dennis Quaid; Billy Bob Thornton; Jason Patric; Patrick Wilson; Emilio Echevarría,107000000,Argentine convertible peso,25819961,CAD
Pete's Dragon,2016,7.43252,191003,tt2788732,294272,https://trakt.tv/movies/pete-s-dragon-2016,2016-08-12,103,"adventure,family,fantasy",https://image.tmdb.org/t/p/original/A9x4Ogk8KUXTfU649NS6lS9TCmu.jpg,https://image.tmdb.org/t/p/original/ct9S0m2U2RTCFAVnq3y0nF0Tgb2.jpg,"For years, old wood carver Mr. Meacham has delighted local children with his tales of the fierce dragon that resides deep in the woods of the Pacific Northwest. To his daughter, Grace, who works as a forest ranger, these stories are little more than tall tales... until she meets Pete, a mysterious 10-year-old with no family and no home who claims to live in the woods with a giant, green dragon named Elliott. And from Pete's descriptions, Elliott seems remarkably similar to the dragon from Mr. Meacham's stories. With the help of Natalie, an 11-year-old girl whose father Jack owns the local lumber mill, Grace sets out to determine where Pete came from, where he belongs, and the truth about this dragon.",Jim Whitaker,David Lowery,David Lowery; Toby Halbrooks,Oakes Fegley; Bryce Dallas Howard; Wes Bentley; Karl Urban; Oona Laurence,65000000,USD,143695338,EUR
Creed III,2023,7.02834,512258,tt11145118,677179,https://trakt.tv/movies/creed-iii-2023,2023-03-03,116,"drama,action",https://image.tmdb.org/t/p/original/cvsXj3I9Q2iyyIo95AecSd1tad7.jpg,https://image.tmdb.org/t/p/original/5i6SjyDbDWqyun8klUuCxrlFbyw.jpg,"After dominating the boxing world, Adonis Creed has thrived in his career and family life. When a childhood friend and former boxing prodigy, Damian Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damian — a fighter with nothing to lose.",Charles Winkler; David Winkler; Elizabeth Raposo; Irwin Winkler; Jonathan Glickman; Michael B. Jordan; Ryan Coogler; Sylvester Stallone; William Chartoff,Michael B. Jordan,Keenan Coogler; Zach Baylin,Michael B. Jordan; Tessa Thompson; Jonathan Majors; Phylicia Rashād; Mila Davis-Kent,75000000,USD,275300000,EUR
John Wick: Chapter 4,2023,7.65836,448646,tt10366206,603692,https://trakt.tv/movies/john-wick-chapter-4-2023,2023-03-24,170,"action,crime,thriller",https://image.tmdb.org/t/p/original/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg,https://image.tmdb.org/t/p/original/7I6VUdPj6tQECNHdviJkUHD2u89.jpg,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",Basil Iwanyk; Chad Stahelski; Erica Lee,Chad Stahelski,Michael Finch; Shay Hatten,Keanu Reeves; Donnie Yen; Bill Skarsgård; Ian McShane; Laurence Fishburne,100000000,USD,440157245,EUR
The 13th Warrior,1999,7.00864,1285,tt0120657,1911,https://trakt.tv/movies/the-13th-warrior-1999,1999-08-27,102,"adventure,history,action",https://image.tmdb.org/t/p/original/pj1IQQ7ajwaOrjjTCxyM1L4mSnX.jpg,https://image.tmdb.org/t/p/original/sjZIN2oDzOLGYuz21QwWw1tJ8ly.jpg,"A Muslim ambassador exiled from his homeland joins a group of Vikings, initially offended by their behavior but growing to respect them. As they travel together, they learn of a legendary evil closing in and must unite to confront this formidable force.",John McTiernan; Michael Crichton; Ned Dowd,John McTiernan,Warren Lewis; William Wisher,Antonio Banderas; Diane Venora; Dennis Storhøi; Vladimir Kulich; Omar Sharif,,,61698899,EUR
25th Hour,2002,7.44669,958,tt0307901,1429,https://trakt.tv/movies/25th-hour-2002,2002-12-19,135,"crime,drama",https://image.tmdb.org/t/p/original/uW7tTRElr2tRhmAVESzvHy4ByXg.jpg,https://image.tmdb.org/t/p/original/mpfRchw4jh2cEBajB9EJltTnDH2.jpg,"In New York City in the days following the events of 9/11, Monty Brogan is a convicted drug dealer about to start a seven-year prison sentence, and his final hours of freedom are devoted to hanging out with his closest buddies and trying to prepare his girlfriend for his extended absence.",Jon Kilik; Julia Chasman; Spike Lee; Tobey Maguire,Spike Lee,David Benioff,Edward Norton; Philip Seymour Hoffman; Barry Pepper; Rosario Dawson; Anna Paquin,,,23932055,EUR
Thor,2011,7.16302,5408,tt0800369,10195,https://trakt.tv/movies/thor-2011,2011-05-06,115,"action,adventure,fantasy,superhero",https://image.tmdb.org/t/p/original/prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg,https://image.tmdb.org/t/p/original/cDJ61O1STtbWNBwefuqVrRe3d7l.jpg,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",Kevin Feige,Kenneth Branagh,Ashley Miller; Don Payne; Zack Stentz,Chris Hemsworth; Natalie Portman; Tom Hiddleston; Anthony Hopkins; Stellan Skarsgård,150000000,USD,449326618,EUR
Spartacus,1960,7.65619,803,tt0054331,967,https://trakt.tv/movies/spartacus-1960,1960-10-13,197,"drama,history,adventure,war",https://image.tmdb.org/t/p/original/r0Fgg1GyZgzokaiw2HFQv3oPaL2.jpg,https://image.tmdb.org/t/p/original/aheSIG4h3JNxWeDvdb1NxKzgjaM.jpg,"The rebellious Thracian Spartacus, born and raised a slave, is sold to Gladiator trainer Batiatus. After weeks of being trained to kill for the arena, Spartacus turns on his owners and leads the other slaves in rebellion. As the rebels move from town to town, their numbers swell as escaped slaves join their ranks. Under the leadership of Spartacus, they make their way to southern Italy, where they will cross the sea and return to their homes.",Edward Lewis,Stanley Kubrick,Dalton Trumbo; Peter Ustinov,Kirk Douglas; Laurence Olivier; Jean Simmons; Charles Laughton; Peter Ustinov,12000000,USD,60000000,HK$
Killer Elite,2011,6.68184,34070,tt1448755,49021,https://trakt.tv/movies/killer-elite-2011,2011-11-01,116,"action,adventure,thriller",https://image.tmdb.org/t/p/original/7O2U0WPFPSvNSUYZlhbnV081lBF.jpg,https://image.tmdb.org/t/p/original/RzIuQRoXiO8WeFdjtnjUCzSymV.jpg,"Based on a shocking true story, Killer Elite pits two of the world’s most elite operatives—Danny, an ex-special ops agent and Hunter, his longtime mentor—against the cunning leader of a secret military society. Covering the globe from Australia to Paris, London and the Middle East, Danny and Hunter are plunged into a highly dangerous game of cat and mouse—where the predators become the prey.",Michael Boughen; Sigurjón Sighvatsson; Steven Chasman; Tony Winley,Gary McKendry,Gary McKendry; Ranulph Fiennes,Jason Statham; Clive Owen; Robert De Niro; Dominic Purcell; Aden Young,70000000,USD,57777106,HK$
Harry Potter and the Philosopher's Stone,2001,8.00834,545,tt0241527,671,https://trakt.tv/movies/harry-potter-and-the-philosopher-s-stone-2001,2001-11-16,152,"adventure,fantasy",https://image.tmdb.org/t/p/original/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,https://image.tmdb.org/t/p/original/bfh9Z3Ghz4FOJAfLOAhmc3ccnHU.jpg,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",David Heyman,Chris Columbus,Steve Kloves,Daniel Radcliffe; Rupert Grint; Emma Watson; Richard Harris; Tom Felton,125000000,USD,976475550,K?
21,2008,7.01004,4032,tt0478087,8065,https://trakt.tv/movies/21-2008,2008-03-27,123,"crime,drama",https://image.tmdb.org/t/p/original/efG8Po57alqSlhqHU1lXJ3duG6t.jpg,https://image.tmdb.org/t/p/original/u6OCGwhSWhfQX1LZ4NTq0bfcWxs.jpg,"Ben Campbell is a young, highly intelligent student at M.I.T. who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine to become a doctor, Ben learns that he cannot afford the $300,000 tuition as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor to a small but secretive club of five students, Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa to count cards at blackjack.",Dana Brunetti; Michael De Luca,Robert Luketic,Allan Loeb; Peter Steinfeld,Jim Sturgess; Kevin Spacey; Kate Bosworth; Aaron Yoo; Liza Lapira,35000000,USD,159808370,USD
300,2007,7.67166,884,tt0416449,1271,https://trakt.tv/movies/300-2007,2007-03-09,116,"action,adventure,war",https://image.tmdb.org/t/p/original/h7Lcio0c9ohxPhSZg42eTlKIVVY.jpg,https://image.tmdb.org/t/p/original/lgBZlJ1LHQel5nneNQMoesmvc7l.jpg,"Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.",Bernie Goldmann; Gianni Nunnari; Jeffrey Silver,Zack Snyder,Kurt Johnstad; Michael B. Gordon; Zack Snyder,Gerard Butler; Lena Headey; Dominic West; David Wenham; Vincent Regan,65000000,USD,456082343,USD
2012,2009,6.29956,8477,tt1190080,14161,https://trakt.tv/movies/2012-2009,2009-11-13,158,"action,adventure,science-fiction",https://image.tmdb.org/t/p/original/zaqam2RNscH5ooYFWInV6hjx6y5.jpg,https://image.tmdb.org/t/p/original/pvxmYJcgrLiYC6G2IQTn1PPNems.jpg,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",Harald Kloser; Larry Franco; Mark Gordon,Roland Emmerich,Harald Kloser; Roland Emmerich,John Cusack; Amanda Peet; Chiwetel Ejiofor; Thandiwe Newton; Oliver Platt,280000000,USD,791217826,USD
12 Strong,2018,7.25508,273322,tt1413492,429351,https://trakt.tv/movies/12-strong-2018,2018-01-19,130,"war,drama,history,action",https://image.tmdb.org/t/p/original/37Qwani2g0jVPU7N4OkkTZ7aERz.jpg,https://image.tmdb.org/t/p/original/x5EUEv1N9g4BCX9GQXKvv3nqMVo.jpg,A team of special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban.,Jerry Bruckheimer; Molly Smith; Thad Luckinbill; Trent Luckinbill,Nicolai Fuglsig,Peter Craig; Ted Tally,Chris Hemsworth; Michael Shannon; Michael Peña; Navid Negahban; Trevante Rhodes,35000000,USD,67450815,USD
12 Years a Slave,2013,8.07086,56258,tt2024544,76203,https://trakt.tv/movies/12-years-a-slave-2013,2013-10-18,134,"drama,history",https://image.tmdb.org/t/p/original/xdANQijuNrJaw1HA61rDccME4Tm.jpg,https://image.tmdb.org/t/p/original/4Bb1kMIfrT2tYRZ9M6Jhqy6gkeF.jpg,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",Anthony Katagas; Arnon Milchan; Bianca Stigter; Bill Pohlad; Brad Pitt; Dede Gardner; Jeremy Kleiner; Steve McQueen,Steve McQueen,John Ridley,Chiwetel Ejiofor; Michael Fassbender; Lupita Nyong'o; Benedict Cumberbatch; Paul Dano,20000000,USD,187000000,USD
127 Hours,2010,7.37806,29851,tt1542344,44115,https://trakt.tv/movies/127-hours-2010,2010-11-12,94,"adventure,drama,thriller",https://image.tmdb.org/t/p/original/h0RMdn0rfl9l5hWXz3tUh6QVkhi.jpg,https://image.tmdb.org/t/p/original/viBWzktrBmhzRw4ehmUIrrN4C0z.jpg,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,Christian Colson; Danny Boyle; John Smithson,Danny Boyle,Danny Boyle; Simon Beaufoy,James Franco; Kate Mara; Amber Tamblyn; Clémence Poésy; Lizzy Caplan,18000000,USD,35700000,USD
13 Hours: The Secret Soldiers of Benghazi,2016,7.73151,219869,tt4172430,300671,https://trakt.tv/movies/13-hours-the-secret-soldiers-of-benghazi-2016,2016-01-13,144,"action,history,war,drama,thriller",https://image.tmdb.org/t/p/original/AskDcQ6Sa6jImyt2KDQbgRuPebH.jpg,https://image.tmdb.org/t/p/original/ayDMYGUNVvXS76wQgFwTiUIDNb5.jpg,An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.,Erwin Stoff; Michael Bay,Michael Bay,Chuck Hogan,John Krasinski; James Badge Dale; Dominic Fumusa; Max Martini; Pablo Schreiber,50000000,USD,69411370,USD
2 Fast 2 Furious,2003,6.66961,463,tt0322259,584,https://trakt.tv/movies/2-fast-2-furious-2003,2003-06-06,107,"action,crime,thriller",https://image.tmdb.org/t/p/original/6nDZExrDKIXvSAghsFKVFRVJuSf.jpg,https://image.tmdb.org/t/p/original/z3ioibdjWZOYeXjoiabFOFOfPI3.jpg,"It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of ""dirty"" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down.",Neal H. Moritz,John Singleton,Derek Haas; Michael Brandt,Paul Walker; Tyrese Gibson; Eva Mendes; Cole Hauser; Ludacris,76000000,USD,236350661,USD
21 Jump Street,2012,7.31947,46734,tt1232829,64688,https://trakt.tv/movies/21-jump-street-2012,2012-03-16,109,"action,comedy,crime",https://image.tmdb.org/t/p/original/8v3Sqv9UcIUC4ebmpKWROqPBINZ.jpg,https://image.tmdb.org/t/p/original/rXrpYOveFl76ivMmyb2612T7Q8w.jpg,"When cops Schmidt and Jenko join the secret Jump Street unit, they use their youthful appearances to go undercover as high school students. They trade in their guns and badges for backpacks, and set out to shut down a dangerous drug ring. But, as time goes on, Schmidt and Jenko discover that high school is nothing like it was just a few years earlier -- and, what's more, they must again confront the teenage terror and anxiety they thought they had left behind.",Neal H. Moritz; Stephen J. Cannell,Christopher Miller; Phil Lord,Michael Bacall,Jonah Hill; Channing Tatum; Brie Larson; Dave Franco; Rob Riggle,55000000,USD,201585328,USD
22 Jump Street,2014,7.14348,117143,tt2294449,187017,https://trakt.tv/movies/22-jump-street-2014,2014-06-13,112,"action,comedy,crime",https://image.tmdb.org/t/p/original/850chzYHYbT3IISl6Q7dbBuFP2B.jpg,https://image.tmdb.org/t/p/original/5fiqJTC391BU5qv90Tj9Xd1TyEt.jpg,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them.",Channing Tatum; Jonah Hill; Neal H. Moritz,Christopher Miller; Phil Lord,Michael Bacall; Oren Uziel; Rodney Rothman,Jonah Hill; Channing Tatum; Peter Stormare; Wyatt Russell; Amber Stevens West,65000000,USD,331333876,USD
28 Days Later,2002,7.52251,135,tt0289043,170,https://trakt.tv/movies/28-days-later-2002,2002-11-01,113,"horror,science-fiction,thriller",https://image.tmdb.org/t/p/original/sQckQRt17VaWbo39GIu0TMOiszq.jpg,https://image.tmdb.org/t/p/original/x085XrfEmU31QeXgMFttmuoGr0Y.jpg,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",Andrew Macdonald,Danny Boyle,Alex Garland,Cillian Murphy; Naomie Harris; Brendan Gleeson; Megan Burns; Christopher Eccleston,8000000,USD,85032676,USD
28 Weeks Later,2007,6.86601,1021,tt0463854,1562,https://trakt.tv/movies/28-weeks-later-2007,2007-04-26,100,"horror,science-fiction,thriller",https://image.tmdb.org/t/p/original/oix0aNv1lvW3nUGspUyvSIBlpbs.jpg,https://image.tmdb.org/t/p/original/83ownpZPvBHJD5UVNShzQfa3LaW.jpg,"Twenty-eight weeks after the spread of a deadly rage virus, the inhabitants of the British Isles have lost their battle against the onslaught, as the virus has killed everyone there. Six months later, a group of Americans dare to set foot on the Isles, convinced the danger has passed. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims.",Allon Reich; Andrew Macdonald; Bernard Bellew; Enrique López Lavigne,Juan Carlos Fresnadillo,Enrique López Lavigne; Jesús Olmo; Juan Carlos Fresnadillo; Rowan Joffé,Mackintosh Muggleton; Imogen Poots; Robert Carlyle; Rose Byrne; Jeremy Renner,15000000,USD,65048725,USD
28 Years Later,2025,6.3959,885672,tt10548174,1100988,https://trakt.tv/movies/28-years-later-2025,2025-06-19,115,"horror,science-fiction,thriller",https://image.tmdb.org/t/p/original/mIg1qCkVxnAlM2TK3RUF0tdEXlE.jpg,https://image.tmdb.org/t/p/original/zav0v7gLWMu6pVwgsIAwt11GJ4C.jpg,"Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.",Alex Garland; Andrew Macdonald; Bernard Bellew; Danny Boyle; Peter Rice,Danny Boyle,Alex Garland,Jodie Comer; Alfie Williams; Aaron Taylor-Johnson; Ralph Fiennes; Edvin Ryding,60000000,USD,150446897,USD
Scarface,1983,8.28628,80,tt0086250,111,https://trakt.tv/movies/scarface-1983,1983-12-09,170,"action,crime,drama",https://image.tmdb.org/t/p/original/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg,https://image.tmdb.org/t/p/original/sctvs9cUwJD15qlTlrsh2BXsK75.jpg,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",Martin Bregman,Brian De Palma,Oliver Stone,Al Pacino; Steven Bauer; Michelle Pfeiffer; Mary Elizabeth Mastrantonio; Robert Loggia,25000000,USD,66023329,USD
300: Rise of an Empire,2014,6.47873,37540,tt1253863,53182,https://trakt.tv/movies/300-rise-of-an-empire-2014,2014-03-07,102,"action,drama,war",https://image.tmdb.org/t/p/original/wYDdWN1McB1Sio4z1dPSkb40Z78.jpg,https://image.tmdb.org/t/p/original/chjkfyo57JexWo1YeIZRMk8wA4m.jpg,"Greek general Themistocles attempts to unite all of Greece by leading the charge that will change the course of the war. Themistocles faces the massive invading Persian forces led by mortal-turned-god, Xerxes and Artemesia, the vengeful commander of the Persian navy.",Bernie Goldmann; Deborah Snyder; Gianni Nunnari; Mark Canton; Thomas Tull; Zack Snyder,Noam Murro,Kurt Johnstad; Zack Snyder,Sullivan Stapleton; Eva Green; Lena Headey; Callan Mulvey; David Wenham,110000000,USD,337580051,USD
47 Ronin,2013,6.70885,46732,tt1335975,64686,https://trakt.tv/movies/47-ronin-2013,2013-12-25,119,"action,fantasy,drama",https://image.tmdb.org/t/p/original/xDHnmcroujCRG0ysYQaiswjbyHd.jpg,https://image.tmdb.org/t/p/original/nyt0jlofZyjhRqiQkEp0cdoKaS3.jpg,"Kai—an outcast—joins Oishi, the leader of 47 outcast samurai.  Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind.  To restore honour to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors.",Eric McLeod; Pamela Abdy; Scott Stuber,Carl Rinsch,Chris Morgan; Hossein Amini,Keanu Reeves; Hiroyuki Sanada; Ko Shibasaki; Tadanobu Asano; Min Tanaka,175000000,USD,151783839,USD
48 Hrs.,1982,7.14898,116,tt0083511,150,https://trakt.tv/movies/48-hrs-1982,1982-12-07,96,"action,comedy,crime",https://image.tmdb.org/t/p/original/rvvjXHzEDBIvIVDBHNOwHS7hVPu.jpg,https://image.tmdb.org/t/p/original/xQTSGz5dvIAYFssPWhD160AcR7Z.jpg,"A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer.",Joel Silver; Lawrence Gordon,Walter Hill,Larry Gross; Roger Spottiswoode; Steven E. de Souza; Walter Hill,Nick Nolte; Eddie Murphy; Annette O'Toole; Frank McRae; James Remar,12000000,USD,78868508,USD
50 First Dates,2004,7.15468,1206,tt0343660,1824,https://trakt.tv/movies/50-first-dates-2004,2004-02-13,99,"comedy,romance",https://image.tmdb.org/t/p/original/4T0cSswKtXk37r0QbqoLbTtlbO1.jpg,https://image.tmdb.org/t/p/original/vUuMauTTlsp7LB9dN9phXA0i9Nd.jpg,"Henry is a player skilled at seducing women. But when this veterinarian meets Lucy, a girl with a quirky problem when it comes to total recall, he realizes it's possible to fall in love all over again…and again, and again. That's because the delightful Lucy has no short-term memory, so Henry must woo her day after day until he finally sweeps her off her feet.",Jack Giarraputo; Nancy Juvonen; Steve Golin,Peter Segal,George Wing,Adam Sandler; Drew Barrymore; Rob Schneider; Sean Astin; Lusia Strus,70000000,USD,196482882,USD
50/50,2011,7.55046,26878,tt1306980,40807,https://trakt.tv/movies/50-50-2011,2011-09-30,100,"comedy,drama",https://image.tmdb.org/t/p/original/8f9tM9JVB4ETBhxlQcXIjLckArl.jpg,https://image.tmdb.org/t/p/original/yq9g4RGM1mEMBoSL5HKVBy9MOPM.jpg,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",Ben Karlin; Evan Goldberg; Seth Rogen,Jonathan Levine,Will Reiser,Joseph Gordon-Levitt; Seth Rogen; Anna Kendrick; Bryce Dallas Howard; Philip Baker Hall,8000000,USD,39187783,USD
8MM,1999,6.78827,4087,tt0134273,8224,https://trakt.tv/movies/8mm-1999,1999-02-26,123,"crime,mystery,thriller",https://image.tmdb.org/t/p/original/mhr9xRpjOBqlBjgDwtiOx6FsLvV.jpg,https://image.tmdb.org/t/p/original/eEP8pyCmldfbnml0SFMvPK7kE4x.jpg,"A small, seemingly innocuous plastic reel of film leads surveillance specialist Tom Welles down an increasingly dark and frightening path. With the help of the streetwise Max, he relentlessly follows a bizarre trail of evidence to determine the fate of a complete stranger. As his work turns into obsession, he drifts farther and farther away from his wife, family and simple life as a small-town PI.",Gavin Polone; Joel Schumacher; Judy Hofflund,Joel Schumacher,Andrew Kevin Walker,Nicolas Cage; Joaquin Phoenix; James Gandolfini; Peter Stormare; Anthony Heald,40000000,USD,96618699,USD
